Seq	TickMs	DeltaMs	ThreadId	Endpoint	Dir	Bytes	Hex	Ascii	AsciiNote
150	479753546	2046	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
151	479753546	0	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
152	479753546	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
153	479753546	0	34460	192.168.1.74:5025	RX	9	32 36 2E 36 32 33 39 35 31 	26.623951	
154	479753562	16	34460	192.168.1.74:5025	RX	9	32 36 2E 36 32 33 39 35 31 	26.623951	
155	479753562	0	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
156	479753562	0	34460	127.0.0.1:5025	TX	7	3A 73 65 6E 73 3F 0A 	:sens?.	6:LF
157	479753562	0	34460	192.168.1.74:5025	TX	23	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 0A 	:SOURCE:CLOOP1:PVALUE?.	22:LF
158	479753578	16	34460	127.0.0.1:5025	RX	15	3A 53 45 4E 53 3A 50 52 45 53 20 30 2E 30 30 	:SENS:PRES 0.00	
159	479753578	0	34460	192.168.1.74:5025	RX	9	32 36 2E 36 31 38 30 37 33 	26.618073	
