Seq	DeltaMs	Endpoint		Dir	Hex	Ascii	AsciiNote
145	0	192.168.1.74:5025	RX	32 37 2E 30 34 30 38 31 32 	27.040812		
146	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
147	0	192.168.1.74:5025	RX	32 37 2E 33 33 30 32 37 31 	27.330271		
148	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
149	0	192.168.1.74:5025	RX	32 37 2E 34 37 38 39 35 36 	27.478956		
150	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
151	0	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
152	0	192.168.1.74:5025	RX	32 37 2E 34 37 38 39 35 36 	27.478956		
153	16	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
154	0	192.168.1.74:5025	RX	32 37 2E 34 37 38 39 35 36 	27.478956		
155	0	192.168.1.74:5025	RX	32 37 2E 34 37 38 39 35 36 	27.478956		
156	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
157	0	192.168.1.74:5025	RX	32 37 2E 38 31 32 30 39 34 	27.812094		
158	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
159	0	192.168.1.74:5025	RX	32 37 2E 39 35 33 37 31 32 	27.953712		
160	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
161	0	192.168.1.74:5025	RX	32 38 2E 32 34 31 39 30 33 	28.241903		
162	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
163	0	192.168.1.74:5025	RX	32 38 2E 35 30 31 36 32 31 	28.501621		
164	922	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
165	0	192.168.1.74:5025	RX	32 38 2E 36 32 31 34 31 36 	28.621416		
166	2046	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
167	0	192.168.1.74:5025	RX	32 38 2E 38 32 34 35 35 31 	28.824551		
168	1954	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
169	0	192.168.1.74:5025	RX	32 38 2E 39 34 30 31 31 37 	28.940117		
170	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
171	0	192.168.1.74:5025	RX	32 39 2E 30 33 35 37 31 33 	29.035713		
172	2062	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
173	0	192.168.1.74:5025	RX	32 39 2E 31 36 35 38 37 31 	29.165871		
174	1953	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
175	0	192.168.1.74:5025	RX	32 39 2E 32 34 39 32 36 34 	29.249264		
176	1016	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
177	0	192.168.1.74:5025	RX	32 39 2E 32 38 34 34 32 34 	29.284424		
178	2063	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
179	0	192.168.1.74:5025	RX	32 39 2E 33 31 35 38 32 36 	29.315826		
180	1953	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
181	0	192.168.1.74:5025	RX	32 39 2E 33 32 39 36 34 37 	29.329647		
182	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
183	0	192.168.1.74:5025	RX	32 39 2E 33 35 36 36 36 33 	29.356663		
184	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
185	94	192.168.1.74:5025	RX	32 39 2E 33 34 33 37 32 39 	29.343729		
186	921	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
187	0	192.168.1.74:5025	RX	32 39 2E 33 33 38 31 33 39 	29.338139		
188	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
189	110	192.168.1.74:5025	RX	32 39 2E 33 31 32 32 30 34 	29.312204		
190	906	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
191	16	192.168.1.74:5025	RX	32 39 2E 32 37 33 38 38 38 	29.273888		
192	2031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
193	0	192.168.1.74:5025	RX	32 39 2E 32 31 31 33 38 38 	29.211388		
194	1031	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
195	0	192.168.1.74:5025	RX	32 39 2E 31 38 32 37 33 39 	29.182739		
196	2047	192.168.1.74:5025	TX	3A 53 4F 55 52 43 45 3A 43 4C 4F 4F 50 31 3A 50 56 41 4C 55 45 3F 	:SOURCE:CLOOP1:PVALUE?		
197	0	192.168.1.74:5025	RX	32 39 2E 31 32 37 32 36 32 	29.127262		
